id,title,subtype,transaction,price_sale,price_rent,area_m2,bedrooms,bathrooms,parking_spots,iptu_year,condo_fee,pets_allowed,accepts_financing,year_built,floor,has_elevator,has_balcony,furnished,neighborhood,condominium,builder,built_year
prop-39527865,"Apartamento com 1 dormitório à venda, 55 m² por R$ 445.000,00 - Aeroclube - João Pessoa/PB",Apartment,sale,445000,,55.0,1,1,1,,,false,,,,true,true,false,Aeroclube,,,
prop-43135467,"Apartamento com 1 quarto à venda na Rua João de O. da Silva, Aeroclube, João Pessoa",Apartment,sale,265000,,23.0,1,1,1,,,false,,,,false,false,false,Aeroclube,,,
prop-40981936,"Apartamento com 1 dormitório à venda, 32 m² por R$ 270.000,00 - Aeroclube - João Pessoa/PB",Apartment,sale,270000,,32.0,1,1,1,,,false,,,,true,false,false,Aeroclube,,,
prop-40153852,"Apartamento à venda no bairro Aeroclube - João Pessoa-PB! 1 quarto, 1 suíte, 1 sala, 1 vaga, 15,80m² de área. Imperdível!",Apartment,sale,278200,,15.0,1,0,1,,,false,,,,true,true,false,Aeroclube,,,
prop-44848384,"Apartamento com 1 quarto à venda na Rua Raimundo S. de Carvalho, Aeroclube, João Pessoa",Apartment,sale,390000,,35.0,1,1,1,,,false,,,,false,true,false,Aeroclube,,,
prop-30599480,"Apartamento Flat Com área externa em Água Fria, João Pessoa/PB",Apartment,sale,265000,,28.0,1,1,1,,,false,,,,true,false,false,Agua Fria,,,
prop-38039377,"Apartamento  para venda, Altiplano Cabo Branco, João Pessoa - 25601",Apartment,sale,596169,,30.0,1,1,1,,,false,,,,false,false,false,Altiplano Cabo Branco,,,
prop-38039370,"Apartamento  para venda, Altiplano Cabo Branco, João Pessoa - 25595",Apartment,sale,655138,,30.0,1,1,1,,,false,,,,false,false,false,Altiplano Cabo Branco,,,
prop-38039378,"Apartamento  para venda, Altiplano Cabo Branco, João Pessoa - 25602",Apartment,sale,611117,,31.0,1,1,1,,,false,,,,false,false,false,Altiplano Cabo Branco,,,
prop-38039374,"Apartamento  para venda, Altiplano Cabo Branco, João Pessoa - 25598",Apartment,sale,592163,,33.0,1,1,1,,,false,,,,false,false,false,Altiplano Cabo Branco,,,
prop-38039372,"Apartamento  para venda, Altiplano Cabo Branco, João Pessoa - 25596",Apartment,sale,595540,,33.0,1,1,1,,,false,,,,false,false,false,Altiplano Cabo Branco,,,
prop-38039375,"Apartamento  para venda, Altiplano Cabo Branco, João Pessoa - 25599",Apartment,sale,600224,,33.0,1,1,1,,,false,,,,false,false,false,Altiplano Cabo Branco,,,
prop-38039376,"Apartamento  para venda, Altiplano Cabo Branco, João Pessoa - 25600",Apartment,sale,626950,,33.0,1,1,1,,,false,,,,false,false,false,Altiplano Cabo Branco,,,
prop-38039383,"Apartamento  para venda, Altiplano Cabo Branco, João Pessoa - 25604",Apartment,sale,655138,,33.0,1,1,1,,,false,,,,false,false,false,Altiplano Cabo Branco,,,
prop-38039380,"Apartamento  para venda, Altiplano Cabo Branco, João Pessoa - 25603",Apartment,sale,658583,,33.0,1,1,1,,,false,,,,false,false,false,Altiplano Cabo Branco,,,
prop-38039373,"Apartamento  para venda, Altiplano Cabo Branco, João Pessoa - 25597",Apartment,sale,635347,,34.0,1,1,1,,,false,,,,false,false,false,Altiplano Cabo Branco,,,
prop-30370681,"Apartamento com 1 dormitório à venda, 35 m² por R$ 376.315,20 - Altiplano Cabo Branco - João Pessoa/PB",Apartment,sale,376315,,35.0,1,1,1,,,false,,,,true,true,false,Altiplano Cabo Branco,,,
prop-27698166,"Apartamento com 1 dormitório à venda, 36 m² por R$ 452.009,06 - Altiplano Cabo Branco - João Pessoa/PB",Apartment,sale,452009,,36.0,1,1,1,,,false,,,,true,true,false,Altiplano Cabo Branco,,,
prop-38990872,Apartamento - 1 dormitório - localizado em João Pessoa / Altiplano,Apartment,sale,534431,,36.0,1,1,1,,,false,,,,true,true,true,Altiplano Cabo Branco,,,
prop-38990868,Apartamento - 1 dormitório - localizado em João Pessoa / Altiplano,Apartment,sale,544377,,36.0,1,1,1,,,false,,,,true,true,true,Altiplano Cabo Branco,,,
prop-38990861,Apartamento - 1 dormitório - 1 Suíte - localizado em João Pessoa / Altiplano,Apartment,sale,556723,,36.0,1,1,1,,,false,,,,true,true,true,Altiplano Cabo Branco,,,
