tsne_1,tsne_2,faixa_preco
9.46969,-38.7097,Q5 (mais caro)
-5.8731775,-3.8093195,Q5 (mais caro)
-42.676968,-54.55126,Q5 (mais caro)
59.21023,13.338332,Q1 (mais barato)
6.6604247,-29.007542,Q1 (mais barato)
83.46212,-29.576502,Q2
25.24519,-18.06825,Q2
-42.32786,-55.47258,Q2
6.6648207,-29.009966,Q2
69.18072,61.39083,Q2
9.910808,-25.558798,Q2
0.5404375,29.824049,Q2
37.628628,5.303428,Q2
66.41127,59.093903,Q2
55.435062,-1.0349108,Q2
23.191753,-33.497456,Q3
-42.5343,-54.097744,Q3
37.69069,5.4686885,Q3
-18.144966,-54.26105,Q3
99.107315,-8.859723,Q3
6.1485367,-37.27188,Q3
-42.524075,-55.282387,Q4
11.359469,-36.442646,Q4
2.0846102,27.312939,Q4
30.785507,18.186687,Q4
-6.068189,-3.7118998,Q4
-42.57311,-54.672443,Q4
6.150796,-37.27116,Q4
32.976192,0.40823528,Q4
43.86594,-42.6553,Q1 (mais barato)
45.098316,-62.432297,Q1 (mais barato)
44.56876,-58.41519,Q1 (mais barato)
-9.50685,-23.053627,Q1 (mais barato)
-11.712281,-62.90728,Q5 (mais caro)
-41.4693,-56.118374,Q1 (mais barato)
35.39224,-63.49591,Q1 (mais barato)
-2.1755657,-26.13402,Q4
-6.4980884,-29.723455,Q2
33.774193,0.017627046,Q2
55.02513,-53.01007,Q2
14.561049,-20.448357,Q2
81.35912,-27.543377,Q1 (mais barato)
-16.230719,-52.66926,Q1 (mais barato)
-36.445293,79.41336,Q2
-16.230719,-52.66926,Q2
32.52271,-54.628605,Q3
13.1616745,-9.1875105,Q3
72.06762,-3.0187526,Q1 (mais barato)
-8.133443,-30.333847,Q2
-12.893426,-10.566424,Q2
22.22688,62.05187,Q2
-27.488398,35.97054,Q3
30.61023,-60.9087,Q2
73.72433,60.767982,Q2
-1.5264126,2.9667056,Q1 (mais barato)
22.785149,2.366776,Q1 (mais barato)
-0.4949583,3.0269322,Q1 (mais barato)
-6.881097,20.547132,Q2
69.722694,59.529938,Q2
15.692935,5.795688,Q3
71.21884,57.71183,Q2
15.9437,-19.614302,Q2
60.226612,1.9672443,Q2
66.6574,-46.23856,Q2
47.375206,67.631676,Q2
81.55948,-28.792826,Q2
26.766775,-59.686874,Q1 (mais barato)
-9.458285,-23.036945,Q1 (mais barato)
28.393711,-57.813744,Q2
-6.6534295,-22.064346,Q2
13.689163,-5.2438836,Q2
-1.6655285,-66.43888,Q2
1.3843479,36.96878,Q2
66.43308,57.007103,Q3
8.779249,13.239293,Q2
17.213388,-20.646006,Q3
71.09003,57.9798,Q3
43.099777,-63.593708,Q2
-7.1695313,-69.14237,Q2
-6.5561905,20.446898,Q3
59.328613,19.58113,Q3
23.168234,5.6470513,Q2
12.766117,-5.352295,Q3
4.435941,-16.042572,Q1 (mais barato)
-8.772393,26.30012,Q2
-8.780637,26.291786,Q2
67.9445,-2.2815976,Q3
46.248215,-58.29869,Q1 (mais barato)
44.67326,-40.938557,Q2
50.47235,-10.389734,Q2
62.161713,-6.4262867,Q2
64.83681,-42.71585,Q2
60.933533,22.034258,Q2
-0.52005106,-20.457735,Q2
29.623867,-18.790205,Q2
63.118073,-52.8391,Q3
59.801105,-47.831814,Q2
101.91072,-8.601306,Q4
69.82735,55.685455,Q2
-8.862913,41.438847,Q2
-11.581592,24.470713,Q2
-9.034691,-44.647156,Q4
-9.0037155,-44.599747,Q4
-2.146502,11.817616,Q3
43.65254,34.8976,Q4
29.420725,-23.357895,Q4
73.76145,3.4589777,Q2
70.91587,29.6819,Q2
-81.22896,-37.915882,Q2
-7.4389114,-5.0571313,Q2
-81.22411,-37.900295,Q2
-41.54838,-56.030865,Q2
75.430954,29.005226,Q2
7.5847087,-25.859545,Q2
81.16756,-27.925922,Q2
57.82297,43.482914,Q2
6.3569655,-30.52243,Q2
31.75357,19.540358,Q2
-5.4767175,-4.1937165,Q2
-28.14043,17.410927,Q3
6.836625,-24.99813,Q3
-12.75446,-8.412335,Q3
1.7482833,-6.2656946,Q3
7.3515496,-31.948793,Q3
34.704517,9.688637,Q3
15.212711,-36.819427,Q3
42.489254,35.802547,Q3
-10.169612,18.852854,Q3
36.904636,53.484447,Q3
15.20299,-36.890507,Q4
2.7534592,-73.67,Q4
-1.2863894,-66.19744,Q1 (mais barato)
45.874603,-63.409683,Q1 (mais barato)
64.35679,-52.89406,Q1 (mais barato)
50.102657,-2.3792098,Q2
85.22073,-3.5342953,Q2
8.654284,-27.984484,Q2
31.984858,-46.41502,Q2
7.3751683,-30.475761,Q2
33.98438,-31.333231,Q4
84.877914,-5.2253103,Q4
33.257294,-33.699543,Q4
3.1650794,-6.465436,Q4
-1.8306992,6.492653,Q3
110.258736,7.6709285,Q2
10.883315,3.0098186,Q4
72.32286,56.556835,Q4
67.28938,-40.56528,Q2
67.260315,-40.138405,Q3
-82.38048,-37.610573,Q3
-52.88299,-28.307318,Q3
78.367065,-13.159818,Q4
62.990303,-51.451107,Q1 (mais barato)
-13.594571,-50.54979,Q1 (mais barato)
76.05867,4.9639363,Q1 (mais barato)
100.94063,-12.824088,Q5 (mais caro)
-16.485754,-52.15131,Q1 (mais barato)
-10.23674,-45.631638,Q1 (mais barato)
-16.479555,-52.145954,Q1 (mais barato)
-16.473671,-52.140408,Q1 (mais barato)
-16.466625,-52.131622,Q1 (mais barato)
13.141336,-9.350477,Q1 (mais barato)
-26.239332,-3.6866438,Q1 (mais barato)
-10.215891,-45.619553,Q1 (mais barato)
-10.213619,-45.618027,Q3
-34.40052,-5.2308583,Q1 (mais barato)
64.31477,-47.67915,Q4
64.343346,-47.356823,Q1 (mais barato)
62.12187,-45.33762,Q1 (mais barato)
81.383736,-28.781544,Q2
25.84911,-53.843765,Q2
4.745793,-55.453205,Q2
29.970474,-61.40653,Q2
6.9603605,-44.01645,Q2
3.387536,58.146873,Q2
2.1179333,-55.48838,Q3
2.4670138,-28.550821,Q2
-0.43786815,3.0240326,Q2
71.16392,59.96143,Q2
64.01109,-38.43983,Q2
-0.6578157,38.96013,Q3
5.683909,-57.258217,Q3
-60.042515,-74.788216,Q3
-6.691221,-29.91588,Q2
-0.012700789,-39.56696,Q2
-15.76164,-51.95988,Q2
12.59681,-5.723057,Q2
28.901327,5.9553804,Q2
16.513184,-21.983814,Q3
-11.727683,-72.98124,Q2
82.37638,20.551622,Q2
-15.71335,-51.925426,Q3
29.53236,-18.941347,Q3
32.077435,-54.142178,Q2
49.102123,-61.835243,Q2
31.91416,69.59052,Q2
-11.429542,-74.32495,Q2
8.828183,-38.494778,Q4
18.169518,52.890232,Q3
